,0,2019-20,20-21,21-22,22-23
Oregon St,In-state Tuition,"$11,709.00","$11,858.00","$12,188.00","$12,664.00"
Oregon St,Out-of-state Tuition,"$31,314.00","$31,467.00","$31,579.00","$33,439.00"
Oregon St,Cost of Living,"$16,200 ","$17,142 ","$17,214 ","$17,679 "
,,2019-20,20-21,21-22,22-23
U of Oregon,In-state Tuition,"$12,720.00","$13,857.00","$14,421.00","$15,054.00"
U of Oregon,Out-of-state Tuition,"$36,615.00","$39,309.00","$40,464.00","$41,700.00"
U of Oregon,Cost of Living,"$16,044 ",16455,17235,18585
,,2019-20,20-21,21-22,22-23
National,In-state Tuition,14145.9894,14206.76284,13763.6476,13046.68915
National,Out-of-state Tuition,38189.01037,38291.89811,37188.8295,35289.06773
National,Cost of Living,"$13,770 ","$13,850.00","$13,490.00","$12,870.00"
